SKU Muestra,Type,Life,Category,Safety factor,Forecast error M,Lead time (m),RLT error (%),Safety stock (days)
SKU321,HARMONIZED,50,Lip Makeup,1.88,0.5,1.1,0.2,11.28
SKU322,HARMONIZED,50,Lip Makeup,1.88,0.54,1.1,0.2,11.28
SKU323,HARMONIZED,50,Eye Makeup,2.33,0.45,1.1,0.17,11.63
SKU324,HARMONIZED,50,Face Makeup,1.48,0.4,1.1,0.2,8.85
SKU325,HARMONIZED,50,Face Makeup,1.48,0.55,1.1,0.2,8.85
SKU326,HARMONIZED,50,Face Makeup,1.88,0.55,1.1,0.2,11.28
SKU327,HARMONIZED,50,Face Makeup,1.88,0.5,1.1,0.2,11.28
SKU328,HARMONIZED,50,Face Makeup,1.88,0.42,1.1,0.2,11.28
SKU329,HARMONIZED,50,Face Makeup,1.88,0.23,1.1,0.2,11.28
SKU330,HARMONIZED,50,Face Makeup,1.88,0.37,1.1,0.2,11.28
SKU331,HARMONIZED,50,Face Makeup,1.48,0.36,1.1,0.2,8.85
SKU332,HARMONIZED,50,Face Makeup,1.88,0.36,1.1,0.2,11.28
SKU333,HARMONIZED,50,Face Makeup,1.48,0.52,1.1,0.2,8.85
SKU334,HARMONIZED,50,Nail Makeup,1.88,0.72,0.97,0.3,16.93
SKU335,HARMONIZED,50,Nail Makeup,2.33,0.54,0.97,0.3,20.94
SKU336,HARMONIZED,50,Eye Makeup,1.48,0.26,1.1,0.23,10.33
SKU337,HARMONIZED,50,Eye Makeup,1.88,0.29,6.43,0.3,16.93
SKU338,HARMONIZED,50,Eye Makeup,2.33,0.31,1.1,0.23,16.28
SKU339,HARMONIZED,50,Face Makeup,2.33,0.38,1.1,0.2,13.96
SKU340,HARMONIZED,50,Face Makeup,2.33,0.38,1.1,0.2,13.96
SKU341,HARMONIZED,50,Face Makeup,2.33,0.3,1.1,0.2,13.96
SKU342,HARMONIZED,50,Face Makeup,2.33,0.28,1.1,0.2,13.96
SKU343,HARMONIZED,50,Lip Makeup,2.33,1.05,1.1,0.3,20.94
SKU344,HARMONIZED,50,Lip Makeup,2.33,0.86,1.1,0.37,25.59
SKU345,HARMONIZED,50,Lip Makeup,2.33,1.03,1.1,0.3,20.94
SKU346,HARMONIZED,50,Lip Makeup,2.33,0.38,1.1,0.23,16.28
SKU347,HARMONIZED,50,Lip Makeup,2.33,0.89,1.1,0.37,25.59
SKU348,HARMONIZED,50,Lip Makeup,1.88,1.05,1.1,0.23,13.17
SKU349,HARMONIZED,50,Lip Makeup,2.33,0.62,1.1,0.23,16.28
SKU350,HARMONIZED,50,Lip Makeup,2.33,0.46,1.1,0.3,20.94
SKU351,HARMONIZED,50,Lip Makeup,2.33,1.09,1.1,0.23,16.28
SKU352,HARMONIZED,50,Lip Makeup,2.33,0.46,1.1,0.37,25.59
SKU353,HARMONIZED,50,Lip Makeup,2.33,0.95,1.1,0.23,16.28
SKU354,HARMONIZED,50,Lip Makeup,2.33,0.16,1.1,0.3,20.94
SKU355,HARMONIZED,50,Lip Makeup,2.33,0.91,1.1,0.33,23.26
SKU356,HARMONIZED,50,Lip Makeup,2.33,1.24,1.1,0.33,23.26
SKU357,HARMONIZED,50,Lip Makeup,2.33,0.4,1.1,0.33,23.26
SKU358,HARMONIZED,50,Lip Makeup,2.33,0.71,1.1,0.33,23.26
SKU359,HARMONIZED,50,Lip Makeup,2.33,0.54,1.1,0.33,23.26
SKU360,HARMONIZED,50,Lip Makeup,2.33,0.31,1.1,0.33,23.26
SKU361,HARMONIZED,50,Lip Makeup,2.33,0.67,1.1,0.33,23.26
SKU362,HARMONIZED,50,Lip Makeup,2.33,0.55,1.1,0.33,23.26
SKU363,HARMONIZED,50,Lip Makeup,2.33,0.42,1.1,0.33,23.26
SKU364,HARMONIZED,50,Lip Makeup,2.33,0.46,1.1,0.33,23.26
SKU365,HARMONIZED,50,Face Makeup,2.33,0.33,1.1,0.27,18.61
SKU366,HARMONIZED,50,Face Makeup,2.33,0.27,1.1,0.27,18.61
SKU367,HARMONIZED,50,Face Makeup,2.33,0.22,1.1,0.27,18.61
SKU368,HARMONIZED,50,Face Makeup,1.88,0.26,1.1,0.27,15.05
SKU369,HARMONIZED,50,Lip Makeup,1.88,8.39,1.1,0.2,11.28
SKU370,HARMONIZED,50,Lip Makeup,1.88,0,1.1,0.2,11.28
SKU371,HARMONIZED,50,Lip Makeup,1.88,0.82,1.1,0.2,11.28
SKU372,HARMONIZED,50,Lip Makeup,2.33,0.62,1.1,0.2,14.1
SKU373,HARMONIZED,50,Lip Makeup,1.88,0.74,1.1,0.2,11.28
SKU374,HARMONIZED,50,Lip Makeup,2.33,3.21,1.1,0.2,13.96
SKU375,HARMONIZED,50,Lip Makeup,1.88,0.51,1.1,0.27,15.05
SKU376,HARMONIZED,50,Nail Makeup,2.33,0.28,0.97,0.3,20.94
SKU377,HARMONIZED,50,Nail Makeup,1.88,0.44,0.97,0.3,16.93
SKU378,HARMONIZED,50,Nail Makeup,1.88,0,0.97,0.3,16.93
SKU379,HARMONIZED,50,Nail Makeup,1.88,1.03,0.97,0.3,16.93
SKU380,HARMONIZED,50,Nail Makeup,1.88,0.68,0.97,0.3,16.93
SKU381,HARMONIZED,50,Nail Makeup,2.33,0.74,0.97,0.3,20.94
SKU382,HARMONIZED,50,Nail Makeup,1.88,0.14,0.97,0.3,16.93
SKU383,HARMONIZED,50,Nail Makeup,1.88,0.52,0.97,0.3,16.93
SKU384,HARMONIZED,50,Nail Makeup,1.88,0.29,0.97,0.3,16.93
SKU385,HARMONIZED,50,Nail Makeup,1.48,0.49,0.97,0.3,13.28
SKU386,HARMONIZED,50,Nail Makeup,1.88,0,0.97,0.3,16.93
SKU387,HARMONIZED,50,Nail Makeup,1.48,0.4,0.97,0.3,13.28
SKU388,HARMONIZED,50,Nail Makeup,1.48,0.22,0.97,0.3,13.28
SKU389,HARMONIZED,50,Nail Makeup,1.48,0.34,0.97,0.3,13.28
SKU390,HARMONIZED,50,Nail Makeup,1.88,0.45,0.97,0.3,16.93
SKU391,HARMONIZED,50,Nail Makeup,1.88,0.1,0.97,0.3,16.93
SKU392,HARMONIZED,50,Nail Makeup,1.48,0.41,0.97,0.3,13.28
SKU393,HARMONIZED,50,Nail Makeup,1.48,0.21,0.97,0.3,13.28
SKU394,HARMONIZED,50,Nail Makeup,1.48,0.58,0.97,0.3,13.28
SKU395,HARMONIZED,50,Nail Makeup,2.33,0.53,0.97,0.3,20.94
SKU396,HARMONIZED,50,Nail Makeup,2.33,2.32,1.13,0.3,20.94
SKU397,HARMONIZED,50,Nail Makeup,1.88,0.39,0.97,0.3,16.93
SKU398,HARMONIZED,50,Nail Makeup,1.48,0.42,0.97,0.3,13.28
SKU399,HARMONIZED,50,Nail Makeup,1.88,0.36,0.97,0.3,16.93
SKU400,HARMONIZED,50,Nail Makeup,2.33,0.52,0.97,0.3,20.94
SKU401,HARMONIZED,50,Nail Makeup,2.33,0.34,0.97,0.3,20.94
SKU402,HARMONIZED,50,Face Makeup,1.48,0.13,1.1,0.27,11.81
SKU403,HARMONIZED,50,Face Makeup,1.48,0.31,1.1,0.27,11.81
SKU404,HARMONIZED,50,Face Makeup,1.88,0.58,1.03,0.3,16.93
SKU405,HARMONIZED,50,Face Makeup,1.88,0.93,1.03,0.3,16.93
SKU406,HARMONIZED,50,Lip Makeup,1.48,0.84,1.03,0.23,10.33
SKU407,HARMONIZED,50,Lip Makeup,1.48,0.42,1.03,0.23,10.33
SKU408,HARMONIZED,50,Lip Makeup,1.48,0.11,1.03,0.23,10.33
SKU409,HARMONIZED,50,Lip Makeup,1.48,0.8,1.03,0.23,10.33
SKU410,HARMONIZED,50,Lip Makeup,1.48,0.38,1.03,0.23,10.33
SKU411,HARMONIZED,50,Lip Makeup,1.48,0.58,1.03,0.23,10.33
SKU412,HARMONIZED,50,Lip Makeup,1.48,0.94,1.03,0.23,10.33
SKU413,HARMONIZED,50,Lip Makeup,1.48,0.33,1.03,0.23,10.33
SKU414,HARMONIZED,50,Lip Makeup,1.48,0.71,1.03,0.23,10.33
SKU415,HARMONIZED,50,Lip Makeup,1.48,0.42,1.03,0.23,10.33
SKU416,HARMONIZED,50,Lip Makeup,1.48,0,1.03,0.23,10.33
SKU417,HARMONIZED,50,Lip Makeup,1.48,0.79,1.03,0.23,10.33
SKU418,HARMONIZED,50,Lip Makeup,1.48,0.22,1.03,0.23,10.33
SKU419,HARMONIZED,50,Lip Makeup,1.48,0,1.03,0.23,10.33
